District_name,Tot_No_of_Trans,Tot_Trans_val,ID_2
Alappuzha,75893249,109102328608,243
Ernakulam,413623759,518257667584,244
Idukki,40061410,62319996616,245
Kannur,100118828,145945268416,246
Kasaragod,48785549,74444392472,247
Kollam,94571998,145688516240,248
Kottayam,75015496,111513281104,249
Kozhikode,174743426,233329737696,250
Malappuram,170006861,224224713296,251
Palakkad,87408255,133261799552,252
Pathanamthitta,36748994,56444882204,253
Thiruvananthapuram,166038220,230693564224,254
Thrissur,124511586,184624574656,255
Wayanad,50689803,72472625328,256
