District_name,Tot_No_of_Trans,Tot_Trans_val,ID_2
Ahmednagar,807479961,1.30779E+12,306
Akola,162028256,2.33888E+11,307
Amravati,306714873,4.61246E+11,308
Aurangabad,1030206992,1.32152E+12,309
Bhandara,80918258,1.32323E+11,310
Beed,305443777,5.31532E+11,311
Buldhana,269197794,4.24901E+11,312
Chandrapur,191900140,2.616E+11,313
Dhule,193543302,3.06835E+11,314
Gadchiroli,59050619,99232510460,315
Gondia,82735112,1.37817E+11,316
Mumbai suburban,1801760139,2.30148E+12,317
Hingoli,89425393,1.35263E+11,318
Jalgaon,405407705,6.42795E+11,319
Jalna,228945441,3.55225E+11,320
Kolhapur,372579912,5.11093E+11,321
Latur,355263920,5.04568E+11,322
Nagpur,984208833,1.33684E+12,323
Nanded,365018632,5.83467E+11,324
Nandurbar,86959742,1.42205E+11,325
Nashik,1291269708,1.81438E+12,326
Osmanabad,225635921,3.54974E+11,327
Parbhani,195128741,2.87316E+11,328
Pune,6854100535,7.44881E+12,329
Raigad,510835523,6.15897E+11,330
Ratnagiri,56700846,81384252368,331
Sangli,293817390,4.49974E+11,332
Satara,379929333,5.04148E+11,333
Sindhudurg,29105210,44940687648,334
Solapur,806042098,1.30556E+12,335
Thane,1480408052,1.81456E+12,336
Wardha,102194884,1.46269E+11,337
Washim,420054831,7.55489E+11,338
Yavatmal,190074917,2.82987E+11,339
