District_name,Tot_No_of_Trans,Tot_Trans_val,ID_2
Ariyalur,19858708,36952037310,459
Chennai,945415403,1.46513E+12,460
Coimbatore,504053774,7.43918E+11,461
Cuddalore,81457556,1.39853E+11,462
Dharmapuri,112197341,2.16863E+11,463
Dindigul,91586818,1.75558E+11,464
Erode,123505926,2.10675E+11,465
Kancheepuram,294386105,3.86415E+11,466
Kanniyakumari,60420207,1.20017E+11,467
Karur,40083424,74678259936,468
Madurai,164539208,3.15859E+11,469
Nagapattinam,33708243,62325393740,470
Namakkal,80035950,1.54033E+11,471
Nilgiris,38349731,63178297520,472
Perambalur,18879336,34871525380,473
Pudukkottai,36683280,74220872944,474
Ramanathapuram,32927989,68568653524,475
Salem,260696245,4.71718E+11,476
Sivaganga,38907146,79342362608,477
Thanjavur,63759801,1.23366E+11,478
Theni,48133689,96358394044,479
Thiruvallur,458579056,6.81651E+11,480
Thiruvarur,22251163,44599652872,481
Thoothukkudi,53751860,97362708920,482
Tiruchirappalli,117774675,2.21634E+11,483
Tirunelveli,58971354,1.07314E+11,484
Tiruvannamalai,85134475,1.51854E+11,485
Vellore,107591452,1.8323E+11,486
Viluppuram,61768747,1.02448E+11,487
Virudhunagar,55752602,1.06715E+11,488
