States,District_name,Total Reg Users,ID_2
Andaman & Nicobar,South andaman,1152681,1
Andaman & Nicobar,North and middle andaman,187254,1
Andaman & Nicobar,Nicobars,38582,2
Andhra Pradesh,Visakhapatnam,60310111,22
Andhra Pradesh,East godavari,47150232,7
Andhra Pradesh,Krishna,46838701,12
Andhra Pradesh,Guntur,46000097,8
Andhra Pradesh,Chittoor,44120759,5
Andhra Pradesh,Anantapur,35203442,4
Andhra Pradesh,Kurnool,33534311,13
Andhra Pradesh,West godavari,31151143,25
Andhra Pradesh,Spsr nellore,27659915,17
Andhra Pradesh,Prakasam,27176126,19
Arunachal Pradesh,Papum pare,2057510,33
Arunachal Pradesh,West kameng,522915,39
Arunachal Pradesh,East siang,473245,28
Arunachal Pradesh,Tawang,296061,34
Arunachal Pradesh,Changlang,485373,26
Arunachal Pradesh,Lohit,352296,30
Arunachal Pradesh,West siang,259389,40
Arunachal Pradesh,Namsai,255583,
Arunachal Pradesh,Lower dibang valley,204927,31
Arunachal Pradesh,Upper subansiri,1455,38
Arunachal Pradesh,Tirap,14393,35
Arunachal Pradesh,Lower subansiri,179356,32
Assam,Kamrup metropolitan,14796603,52
Assam,Dibrugarh,3983000,
Assam,Barpeta,4504076,41
Assam,Nagaon,5015825,58
Assam,Cachar,4328977,60
Assam,Sonitpur,3992492,62
Assam,Jorhat,2944096,51
Assam,Tinsukia,3375639,63
Assam,Kamrup,3722160,52
Assam,Dhubri,2519717,
Assam,Golaghat,54950,49
Bihar,Patna,48354667,88
Bihar,Muzaffarpur,18508175,84
Bihar,Gaya,14743214,73
Bihar,Purbi champaran,17187366,89
Bihar,Samastipur,12821139,93
Bihar,Bhagalpur,2206005,69
Bihar,Nalanda,467916,85
Bihar,Darbhanga,12736793,72
Bihar,Vaishali,9741422,100
Bihar,Pashchim champaran,13080559,87
Bihar,Saran,12631496,94
Bihar,Madhubani,12270830,82
Chandigarh,Chandigarh,10651184,101
Chhattisgarh,Raipur,20000827,115
Chhattisgarh,Durg,12413127,106
Chhattisgarh,Bilaspur,10336847,168
Chhattisgarh,Raigarh,7745954,330
Chhattisgarh,Janjgir champa,7497927,107
Chhattisgarh,Korba,6075464,111
Chhattisgarh,Rajnandgaon,4956815,116
Chhattisgarh,Surguja,3714851,117
Chhattisgarh,Baloda bazar,4435383,
Chhattisgarh,Mahasamund,3486773,113
Dadra and Nagar Haveli,Dadra and nagar haveli,4895565,118
Dadra and Nagar Haveli,Daman,2980203,119
Dadra and Nagar Haveli,Diu,291338,120
Delhi,Delhi,39801915,121
Delhi,South east delhi,32216190,
Delhi,North west,28093546,
Delhi,New delhi,26638651,
Delhi,Central delhi,26345415,
Delhi,South west,21817996,
Delhi,North,22745739,
Delhi,East,20213087,
Delhi,South,19145728,
Delhi,Shahdara,16129062,
Goa,North goa,8721126,122
Goa,South goa,5385278,123
Gujarat,Ahmadabad,76074295,124
Gujarat,Surat,62715762,144
Gujarat,Vadodara,26665653,147
Gujarat,Rajkot,17148576,142
Gujarat,Gandhinagar,15560085,131
Gujarat,Bharuch,13960635,128
Gujarat,Kachchh,12917849,134
Gujarat,Mahesana,12699514,136
Gujarat,Banas kantha,15168682,127
Gujarat,Bhavnagar,518437,129
Gujarat,Valsad,11814963,148
Haryana,Gurugram,57843401,153
Haryana,Faridabad,32382942,151
Haryana,Hisar,13460690,154
Haryana,Rewari,11548259,163
Haryana,Sonipat,11978078,166
Haryana,Panipat,10684381,162
Haryana,Karnal,10152395,158
Haryana,Sirsa,710151,165
Haryana,Rohtak,8351446,164
Haryana,Bhiwani,133070,150
Haryana,Ambala,92472,149
Haryana,Jhajjar,7994769,155
Haryana,Palwal,8134768,
Himachal Pradesh,Solan,7916178,178
Himachal Pradesh,Kangra,7620394,171
Himachal Pradesh,Shimla,5061377,176
Himachal Pradesh,Mandi,4648072,175
Himachal Pradesh,Sirmaur,2919845,177
Himachal Pradesh,Hamirpur,2741039,524
Himachal Pradesh,Kullu,2677464,173
Himachal Pradesh,Una,2523344,179
Himachal Pradesh,Bilaspur,1979548,103
Himachal Pradesh,Chamba,1919184,169
Jammu & Kashmir,Jammu,7620983,180
Jammu & Kashmir,Srinagar,2685694,192
Jammu & Kashmir,Baramulla,2305441,182
Jammu & Kashmir,Budgam,1718880,181
Jammu & Kashmir,Anantnag,1549564,180
Jammu & Kashmir,Udhampur,1472803,193
Jammu & Kashmir,Pulwama,265423,189
Jammu & Kashmir,Kathua,1564319,186
Jammu & Kashmir,Kupwara,1487125,187
Jammu & Kashmir,Samba,1314897,
Jammu & Kashmir,Rajouri,945237,191
Jharkhand,Ranchi,21607674,212
Jharkhand,Dhanbad,16873499,197
Jharkhand,East singhbhum,14144368,211
Jharkhand,Bokaro,12319746,194
Jharkhand,Hazaribagh,9271188,203
Jharkhand,Giridih,7405241,200
Jharkhand,Ramgarh,5492383,199
Jharkhand,Deoghar,7041052,196
Jharkhand,Palamu,6285185,209
Jharkhand,Saraikela kharsawan,4520500,214
Karnataka,Bengaluru urban,249867846,218
Karnataka,Mysuru,26803301,237
Karnataka,Belagavi,27729532,219
Karnataka,Dharwad,17687805,228
Karnataka,Ballari,17623787,220
Karnataka,Bengaluru rural,15936293,217
Karnataka,Dakshina kannada,17955553,226
Karnataka,Tumakuru,18060399,240
Karnataka,Kalaburagi,14886019,
Karnataka,Vijayapura,12037135,
Karnataka,Kolar,1403215,234
Kerala,Ernakulam,27291067,244
Kerala,Malappuram,15917328,251
Kerala,Kozhikode,16266997,250
Kerala,Thiruvananthapuram,18268075,254
Kerala,Thrissur,14133513,255
Kerala,Kannur,11682507,246
Kerala,Palakkad,11359465,252
Kerala,Kottayam,9290021,249
Kerala,Kollam,11299081,248
Kerala,Alappuzha,9748386,243
Ladakh,Leh ladakh,1358425,
Ladakh,Kargil,390372,
Lakshadweep,Lakshadweep,110638,257
Madhya Pradesh,Indore,44797497,278
Madhya Pradesh,Bhopal,34184639,264
Madhya Pradesh,Gwalior,17950769,275
Madhya Pradesh,Jabalpur,16355995,279
Madhya Pradesh,Ujjain,13010102,302
Madhya Pradesh,Rewa,10326968,291
Madhya Pradesh,Sagar,11028658,292
Madhya Pradesh,Chhindwara,10061380,267
Madhya Pradesh,Dhar,10498380,271
Madhya Pradesh,Dewas,253018,270
